"id","identificador","ubicacion","latitud","longitud","municipio_id","provincia_id","id_departamento","municipio","provincia","departamento"
"1287","SFE290-01","","0.000000","0.000000","SFE290","AR-S","1700","San Jerónimo Norte","Santa Fe","Las Colonias"
"690","BUE093-01","Municipalidad","-36.267817","-63.164539","BUE093","AR-B","1288","Pellegrini","Buenos Aires","Pellegrini"
"787","SLU003-01","","-35.675890","-65.426780","SLU003","AR-D","1599","Anchorena","San Luis","Gobernador Dupuy"
"788","SLU003-02","","0.000000","0.000000","SLU003","AR-D","1599","Anchorena","San Luis","Gobernador Dupuy"
"693","CHU047-01","","-44.190278","-71.663861","CHU047","AR-U","1377","Doctor Atilio Viglione","Chubut","Tehuelches"
"754","BUE069-01","","0.000000","0.000000","BUE069","AR-B","1263","Las Flores","Buenos Aires","Las Flores"
"1109","BUE069-02","","0.000000","0.000000","BUE069","AR-B","1263","Las Flores","Buenos Aires","Las Flores"
"1092","ERI020-01","","-32.719944","-59.396500","ERI020","AR-E","1445","General Galarza","Entre Ríos","Gualeguay"
"566","TDF002-01","Tolhuin VSAT","-54.509792","-67.192775","TDF002","AR-V","1723","Tolhuin","Tierra del Fuego","Tolhuin"
"1253","NEU032-01","","0.000000","0.000000","NEU032","AR-Q","1553","Quili Malal","Neuquén","Picunches"
"1237","SAL005-01","","0.000000","0.000000","SAL005","AR-A","1663","Cachi","Salta","Cachi"
"1206","SFE348-01","","0.000000","0.000000","SFE348","AR-S","1696","Villa Eloisa","Santa Fe","Iriondo"
"1128","BUE104-01","","0.000000","0.000000","BUE104","AR-B","1299","Rivadavia","Buenos Aires","Rivadavia"
"557","MZA010-01","Malargue - El Chacay / escuela rural","-35.000000","-70.000000","MZA010","AR-M","1524","Malargüe","Mendoza","Malargüe"
"769","MZA010-02","¨Polideportivo municipal","-35.000000","-70.000000","MZA010","AR-M","1524","Malargüe","Mendoza","Malargüe"
"1238","TUC007-01","","0.000000","0.000000","TUC007","AR-T","1648","Amaichá del Valle","Tucumán","Tafi del Valle"
"1239","TUC007-02","","0.000000","0.000000","TUC007","AR-T","1648","Amaichá del Valle","Tucumán","Tafi del Valle"
"346","SFE180-01","","-28.839333","-59.635250","SFE180","AR-S","1695","Lanteri","Santa Fe","General Obligado"
"953","BUE096-01","Punto Digital","-34.443590","-58.808226","BUE096","AR-B","1291","Pilar","Buenos Aires","Pilar"
"76","BUE096-02","Plaza 12 de Octubre","-34.458908","-58.913870","BUE096","AR-B","1291","Pilar","Buenos Aires","Pilar"
"555","ERI058-01","","-31.829255","-58.820673","ERI058","AR-E","1449","Villa Clara","Entre Ríos","Villaguay"
"658","CHU025-01","Gimnasio Municipal","-44.048639","-70.467889","CHU025","AR-U","1377","José de San Martín","Chubut","Tehuelches"
"739","TUC037-01","Campamento","-27.683556","-65.783528","TUC037","AR-T","1656","Escaba","Tucumán","Juan Bautista Alberdi"
"1071","RNO032-01","","-40.815934","-64.757752","RNO032","AR-R","1578","San Antonio Oeste","Río Negro","San Antonio"
"786","MZA008-01","Punto Digital","-32.986189","-68.861568","MZA008","AR-M","1522","Luján de Cuyo","Mendoza","Lujan de Cuyo"
"156","MZA008-02","Plaza Principal","-33.039364","-68.879326","MZA008","AR-M","1522","Luján de Cuyo","Mendoza","Lujan de Cuyo"
"1075","SAL031-01","","-26.126871","-65.051892","SAL031","AR-A","1671","La Candelaria","Salta","La Candelaria"
"243","BUE073-01","PD Lobos","-35.151806","-59.099222","BUE073","AR-B","1268","Lobos","Buenos Aires","Lobos"
"59","BUE073-02","Museo","-35.182111","-59.091611","BUE073","AR-B","1268","Lobos","Buenos Aires","Lobos"
"60","BUE073-03","","-35.171833","-59.099889","BUE073","AR-B","1268","Lobos","Buenos Aires","Lobos"
"61","BUE073-04","","-35.151806","-59.099222","BUE073","AR-B","1268","Lobos","Buenos Aires","Lobos"
"826","SGO081-01","","-27.961667","-62.610444","SGO081","AR-G","1630","Vilelas","Santiago del Estero","Juan Felipe Ibarra"
"701","SJU011-01","","-31.530750","-68.594750","SJU011","AR-J","1589","Rivadavia","San Juan","Rivadavia"
"389","MZA017-01","Tunuyan - Delegacion Municipal","-33.602579","-69.005322","MZA017","AR-M","1531","Tunuyán","Mendoza","Tunuyan"
"692","MZA017-02","Delegacion Municipal, Colonia Las Rosas","-34.000000","-69.000000","MZA017","AR-M","1531","Tunuyán","Mendoza","Tunuyan"
"943","CBA158-01","Punto Digital","-30.994274","-64.086879","CBA158","AR-X","1383","Jesús María","Córdoba","Colon"
"108","CBA158-02","Jesus Maria - Predio festival de Doma y Folklore","-30.973848","-64.093978","CBA158","AR-X","1383","Jesús María","Córdoba","Colon"
"107","CBA158-03","Jesus Maria - Plaza Pio Leon","-30.976469","-64.096402","CBA158","AR-X","1383","Jesús María","Córdoba","Colon"
"324","COR049-01","","0.000000","0.000000","COR049","AR-W","1431","Saladas","Corrientes","Saladas"
"1079","SAL041-01","","-23.309714","-64.219738","SAL041","AR-A","1668","Pichanal","Salta","Oran"
"675","JUJ004-01","Municipalidad","-24.583361","-64.916778","JUJ004","AR-Y","1460","Aguas Calientes","Jujuy","El Carmen"
"299","COR011-01","Plaza Tambor de Tacuari","-28.393174","-57.886431","COR011","AR-W","1418","Concepción","Corrientes","Concepcion"
"1179","RNO057-01","","0.000000","0.000000","RNO057","AR-R","1576","Mamuel Choique","Río Negro","Ñorquinco"
"762","BUE041-01","Comisaria","-34.827401","-62.476547","BUE041","AR-B","1235","Florentino Ameghino","Buenos Aires","Florentino Ameghino"
"1077","SAL054-01","","-25.305546","-66.256975","SAL054","AR-A","1679","Seclantás","Salta","Molinos"
"1290","SFE115-01","","0.000000","0.000000","SFE115","AR-S","1701","Esteban Rams","Santa Fe","Nueve de Julio"
"639","COR055-01","San Miguel VSAT","-27.998831","-57.587794","COR055","AR-W","1428","San Miguel","Corrientes","San Miguel"
"818","CBA221-01","","-33.399748","-63.472012","CBA221","AR-X","1385","Los Cisnes","Córdoba","Juarez Celman"
"781","CHA046-01","","-25.649611","-60.927278","CHA046","AR-H","1358","Miraflores","Chaco","General Güemes"
"656","CHU038-01","oficina de informacion turistica","-44.179556","-71.367583","CHU038","AR-U","1377","Río Pico","Chubut","Tehuelches"
"677","JUJ023-01","Punto Digital","-23.438505","-65.350651","JUJ023","AR-Y","1469","Huacalera","Jujuy","Tilcara"
