"RU" "ID"
"1" 0 104.00
"2" 50 106.00
"3" 100 112.30
"4" 200 117.00
"5" 300 115.30
"6" 400 117.50
"7" 500 130.22
"8" 750 139.80
"9" 1000 140.60
"10" 1250 154.12
"11" 1750 170.50
